Total Slots,Occupied Slots,Available Slots,Timestamp
0,0,0,2026-04-12 15:10:18
0,0,0,2026-04-12 15:10:19
0,0,0,2026-04-12 15:10:20
0,0,0,2026-04-12 15:10:21
0,0,0,2026-04-12 15:10:22
0,0,0,2026-04-12 15:10:23
0,0,0,2026-04-12 15:10:24
0,0,0,2026-04-12 15:10:25
0,0,0,2026-04-12 15:10:26
0,0,0,2026-04-12 15:10:27
0,0,0,2026-04-12 15:10:28
0,0,0,2026-04-12 15:10:29
0,0,0,2026-04-12 15:10:30
0,0,0,2026-04-12 15:10:31
0,0,0,2026-04-12 15:10:32
0,0,0,2026-04-12 15:10:33
0,0,0,2026-04-12 15:10:34
0,0,0,2026-04-12 15:10:35
0,0,0,2026-04-12 15:10:36
0,0,0,2026-04-12 15:10:37
0,0,0,2026-04-12 15:10:38
0,0,0,2026-04-12 15:10:39
0,0,0,2026-04-12 15:10:40
0,0,0,2026-04-12 15:10:41
0,0,0,2026-04-12 15:10:43
0,0,0,2026-04-12 15:10:43
0,0,0,2026-04-12 15:10:44
0,0,0,2026-04-12 15:10:45
0,0,0,2026-04-12 15:10:46
0,0,0,2026-04-12 15:10:47
0,0,0,2026-04-12 15:10:48
0,0,0,2026-04-12 15:10:49
0,0,0,2026-04-12 15:10:50
0,0,0,2026-04-12 15:10:52
0,0,0,2026-04-12 15:10:53
0,0,0,2026-04-12 15:10:54
0,0,0,2026-04-12 15:10:55
0,0,0,2026-04-12 15:10:56
0,0,0,2026-04-12 15:10:57
0,0,0,2026-04-12 15:10:58
0,0,0,2026-04-12 15:10:59
0,0,0,2026-04-12 15:11:00
0,0,0,2026-04-12 15:11:01
0,0,0,2026-04-12 15:11:02
0,0,0,2026-04-12 15:11:03
0,0,0,2026-04-12 15:11:04
0,0,0,2026-04-12 15:11:05
0,0,0,2026-04-12 15:11:06
0,0,0,2026-04-12 15:11:07
0,0,0,2026-04-12 15:11:08
0,0,0,2026-04-12 15:11:09
0,0,0,2026-04-12 15:11:10
0,0,0,2026-04-12 15:11:11
0,0,0,2026-04-12 15:11:12
0,0,0,2026-04-12 15:11:13
0,0,0,2026-04-12 15:11:14
0,0,0,2026-04-12 15:11:15
0,0,0,2026-04-12 15:11:16
0,0,0,2026-04-12 15:11:17
0,0,0,2026-04-12 15:11:18
0,0,0,2026-04-12 15:11:19
0,0,0,2026-04-12 15:11:20
0,0,0,2026-04-12 15:11:21
0,0,0,2026-04-12 15:11:22
0,0,0,2026-04-12 15:11:23
0,0,0,2026-04-12 15:11:24
0,0,0,2026-04-12 15:11:25
0,0,0,2026-04-12 15:11:26
11,7,4,2026-04-12 15:39:26
11,7,4,2026-04-12 15:39:27
11,7,4,2026-04-12 15:39:28
11,7,4,2026-04-12 15:39:29
11,8,3,2026-04-12 15:39:30
11,8,3,2026-04-12 15:39:31
11,7,4,2026-04-12 15:39:32
11,7,4,2026-04-12 15:39:33
11,7,4,2026-04-12 15:39:34
11,8,3,2026-04-12 15:39:36
11,8,3,2026-04-12 15:39:37
11,7,4,2026-04-12 15:39:38
11,6,5,2026-04-12 15:39:39
11,6,5,2026-04-12 15:39:40
11,7,4,2026-04-12 15:39:41
11,8,3,2026-04-12 15:39:42
11,7,4,2026-04-12 15:39:43
11,8,3,2026-04-12 15:39:44
11,9,2,2026-04-12 15:39:45
11,8,3,2026-04-12 15:39:46
11,8,3,2026-04-12 15:39:47
11,7,4,2026-04-12 15:39:48
11,7,4,2026-04-12 15:39:49
11,7,4,2026-04-12 15:39:50
11,7,4,2026-04-12 15:39:51
11,7,3,2026-04-12 15:58:36
11,7,3,2026-04-12 15:58:37
11,7,3,2026-04-12 15:58:38
11,7,3,2026-04-12 15:58:39
11,7,3,2026-04-12 15:58:40
11,7,3,2026-04-12 15:58:41
11,7,3,2026-04-12 15:58:42
11,7,3,2026-04-12 15:58:43
11,7,3,2026-04-12 15:58:44
